Name;C;Si;Mn;Cr;Mo;Al;V;W;Co;Ni;Th;fA_XRD;fA_XRD_std;fA_DIL;fA_DIL_std;MCL;UEL_std;Ys_std;UEL;Ys
Caballero2012_01.xlsx;0.15;1.45;2.01;0.62;0;0;0;0;0;0;400.15;18;4;nan;8;0;3;200;7.9;853
Caballero2012_02.xlsx;0.18;2;1.46;0.62;0;0;0;0;0;0;300.15;21;4;nan;8;0;3;200;4.8;1106
Caballero2012_03.xlsx;0.26;1.47;2.02;0.62;0;0;0;0;0;0;400.15;23;4;nan;8;0;3;200;10.2;762
Caballero2012_03.xlsx;0.26;1.47;2.02;0.62;0;0;0;0;0;0;450.15;31;4;nan;8;0;3;200;5.9;1114
Caballero2012_05.xlsx;0.19;1.45;1.49;0.61;0;0;0;0;0;0.49;350.15;32;4;nan;8;0;3;200;5;1020
Caballero2012_05.xlsx;0.19;1.45;1.49;0.61;0;0;0;0;0;0.49;300.15;28;4;nan;8;0;3;200;5.3;933
Caballero2012_06.xlsx;0.19;1.42;1.48;0.6;0;0;0;0;0;0.96;350.15;31;4;nan;8;0;3;200;6.1;992
Chandiran2022_1.xlsx;0.53;1.55;0.48;0.59;0;0;0;0;0;0.05;325;6;4;nan;8;0;3;200;3.7;1232
Chandiran2022_2.xlsx;0.64;1.74;2.11;0.2;0;0;0;0;0;0.15;300;37;4;nan;8;0;3;200;12.2;1187
Gao2014_01.xlsx;0.4;2;1.7;0.4;0;0;0;0;0;0;360.15;22;4;nan;8;0;3;200;13.5;1218
Haidemenopoulos1995_01.xlsx;0.1;0.98;1.78;0.02;0;0.03;0;0;0;0.02;450.15;3.3;4;nan;8;0;3;200;20.3;610
Haidemenopoulos1995_01.xlsx;0.1;0.98;1.78;0.02;0;0.03;0;0;0;0.02;450.15;6.5;4;nan;8;0;3;200;20.8;625
Haidemenopoulos1995_01.xlsx;0.1;0.98;1.78;0.02;0;0.03;0;0;0;0.02;450.15;3.6;4;nan;8;0;3;200;19.4;617
Haidemenopoulos1995_02.xlsx;0.26;1.48;0.8;0.02;0;0.04;0;0;0;0.02;400.15;3.3;4;nan;8;0;3;200;19.1;385
Haidemenopoulos1995_02.xlsx;0.26;1.48;0.8;0.02;0;0.04;0;0;0;0.02;400.15;6.5;4;nan;8;0;3;200;18.2;389
Haidemenopoulos1995_02.xlsx;0.26;1.48;0.8;0.02;0;0.04;0;0;0;0.02;400.15;3.6;4;nan;8;0;3;200;17.2;384
HC1;0.815;1.37;0.312;0.0074;0.56;0.841;0.0017;0;0;0.0057;250;5;8;5;8;1;1;100;2.01406;1733.12
HC1;0.815;1.37;0.312;0.0074;0.56;0.841;0.0017;0;0;0.0057;280;7.74165;3;5;8;1;1;100;3.23363;1780.57
HC1;0.815;1.37;0.312;0.0074;0.56;0.841;0.0017;0;0;0.0057;400;33.307;3;23.5603;8;1;1;100;10.9648;988.988
Hell2011_01.xlsx;0.2;1.5;2.5;0.8;0;0;0;0;0;0;330.15;11.3;4;nan;8;0;3;200;6.6;969
Hell2011_01.xlsx;0.2;1.5;2.5;0.8;0;0;0;0;0;0;380.15;15.1;4;nan;8;0;3;200;8.6;851
Hell2011_01.xlsx;0.2;1.5;2.5;0.8;0;0;0;0;0;0;430.15;7.4;4;nan;8;0;3;200;7.9;835
Hell2011_02.xlsx;0.3;1.5;2.5;0.8;0;0;0;0;0;0;280.15;18.3;4;nan;8;0;3;200;7.9;911
Hell2011_02.xlsx;0.3;1.5;2.5;0.8;0;0;0;0;0;0;330.15;15.3;4;nan;8;0;3;200;7.6;975
Hell2011_02.xlsx;0.3;1.5;2.5;0.8;0;0;0;0;0;0;380.15;21.5;4;nan;8;0;3;200;13.4;797
Hofer2016_01.xlsx;0.22;1.51;2.47;0;0;0;0;0;0;0;350.15;10.3;4;nan;8;0;3;200;6.6;870
Hofer2016_01.xlsx;0.22;1.51;2.47;0;0;0;0;0;0;0;375.15;13.7;4;nan;8;0;3;200;7.7;746
Hofer2016_01.xlsx;0.22;1.51;2.47;0;0;0;0;0;0;0;400.15;16.6;4;nan;8;0;3;200;5.5;710
Jian2021c_1.xlsx;0.29;2.5;1.5;0.97;1;0;0;0;0;0;305;6;4;nan;8;0;3;200;3;1156
Kang2017_01.xlsx;0.46;1.55;1.59;1.24;0.4;0.62;0;0;0;0.81;270.15;13.8;4;nan;8;0;3;200;7.85;1025
Long2014_1.xlsx;0.3;1.44;1.58;1.13;0.4;0.48;0;0;0;0.45;340;9.6;4;nan;8;0;3;200;9;1073
Long2014_1.xlsx;0.3;1.44;1.58;1.13;0.4;0.48;0;0;0;0.45;350;11.1;4;nan;8;0;3;200;9;1012
Long2014_1.xlsx;0.3;1.44;1.58;1.13;0.4;0.48;0;0;0;0.45;360;14.4;4;nan;8;0;3;200;9;1057
Long2019_01.xlsx;0.27;1.7;2.3;1.9;0.4;0.7;0;0;0;0.4;325.15;16.1;4;nan;8;0;3;200;8.9;822
Long2020c_1.xlsx;0.41;1.55;1.53;1.23;0.37;0.54;0;0;0;0.34;290;13.7;4;nan;8;0;3;200;4.6;1136
Long2020c_1.xlsx;0.41;1.55;1.53;1.23;0.37;0.54;0;0;0;0.34;310;18.4;4;nan;8;0;3;200;4.7;1139
Long2020c_1.xlsx;0.41;1.55;1.53;1.23;0.37;0.54;0;0;0;0.34;330;24.2;4;nan;8;0;3;200;6.6;1051
Long2020c_1.xlsx;0.41;1.55;1.53;1.23;0.37;0.54;0;0;0;0.34;350;26.9;4;nan;8;0;3;200;12.1;918
Long2020c_1.xlsx;0.41;1.55;1.53;1.23;0.37;0.54;0;0;0;0.34;370;31.5;4;nan;8;0;3;200;13.9;797
MC3-1;0.39;3.09;0.92;1.24;0.69;0.033;0.1;0;0;0.008;325;16.0086;4.41898;23.1761;8;1;1;100;9.61875;980.727
MC3-1;0.39;3.09;0.92;1.24;0.69;0.033;0.1;0;0;0.008;375;22.9955;6.35722;16.3955;8;1;1;100;12.4261;739.432
MC3-2;0.39;1.5;1.94;0.52;0.67;0.025;0.1;0;0;0.009;350;16.8615;1.53903;18.1722;8;1;1;100;8.59978;996.04
MC3-2;0.39;1.5;1.94;0.52;0.67;0.025;0.1;0;0;0.009;375;21.3283;5.49854;19.095;8;1;1;100;14.1256;832.613
Meng2015_01.xlsx;0.28;0.82;2.14;1.62;0.22;1.21;0.33;0;0;0;350.15;16;4;nan;8;0;3;200;9.1;977
Meng2015_01.xlsx;0.28;0.82;2.14;1.62;0.22;1.21;0.33;0;0;0;320.15;14;4;nan;8;0;3;200;8;1094
Meng2015_01.xlsx;0.28;0.82;2.14;1.62;0.22;1.21;0.33;0;0;0;300.15;12.5;4;nan;8;0;3;200;6.9;1113
Mondal2022_01.xlsx;0.23;1.4;1.68;0.47;0.37;0;0;0;0;0.26;400.15;24;4;nan;8;0;3;200;13.81;821
Mousalou2018c_1.xlsx;0.26;1.42;1.7;1.1;0.24;0;0.1;0;0;1.1;350;6;4;nan;8;0;3;200;11;880
Mousalou2020c_1.xlsx;0.26;1.41;0.96;1.1;0.25;0;0.1;0;0;3.1;315;14;4;nan;8;0;3;200;10;895
Sourmail2013_01.xlsx;0.99;1.58;0.76;0.46;0.02;0;0;0;0;0;250.15;20;4;nan;8;0;3;200;3.9;1834
Sourmail2013_02.xlsx;1.01;1.51;0.82;0.46;0.1;0;0;0;0;0;250.15;22;4;nan;8;0;3;200;2.9;1852
Sourmail2013_02.xlsx;1.01;1.51;0.82;0.46;0.1;0;0;0;0;0;220.15;25;4;nan;8;0;3;200;0.3;1883
Sourmail2013_02.xlsx;1.01;1.51;0.82;0.46;0.1;0;0;0;0;0;200.15;20;4;nan;8;0;3;200;0.4;2019
Sourmail2013_03.xlsx;1.02;1.53;0.76;0.46;0.02;0;0;0;0;0;220.15;23;4;nan;8;0;3;200;0.9;1798
Sourmail2013_03.xlsx;1.02;1.53;0.76;0.46;0.02;0;0;0;0;0;240.15;21;4;nan;8;0;3;200;4.9;1866
Sourmail2013_04.xlsx;0.99;2.47;0.74;0.97;0.03;0;0;0;0;0;250.15;33;4;nan;8;0;3;200;11.6;1698
Sourmail2013_04.xlsx;0.99;2.47;0.74;0.97;0.03;0;0;0;0;0;220.153;36;4;nan;8;0;3;200;7.4;1704
Sourmail2013_05.xlsx;0.68;1.6;1.25;1.5;0;0;0;0;0;0;250.15;12;4;nan;8;0;3;200;7.8;1484
Sourmail2013_06.xlsx;0.58;1.58;1.25;1.43;0.02;0;0;0;0;0;250.15;20;4;nan;8;0;3;200;7;1443
Sourmail2013_07.xlsx;0.64;1.6;1.27;1.5;0.01;0;0;0;0;0;220.15;27;4;nan;8;0;3;200;5.1;1358
Sourmail2013_07.xlsx;0.64;1.6;1.27;1.5;0.01;0;0;0;0;0;250.15;18;4;nan;8;0;3;200;7.6;1480
Sourmail2013_08.xlsx;0.61;1.45;0.76;2.42;0;0;0;0;0;0;250.15;19;4;nan;8;0;3;200;7.8;1582
Sourmail2013_09.xlsx;0.9;1.65;0.79;0.48;0.01;0;0;0;0;0;220.15;35;4;nan;8;0;3;200;3.2;1931
Sourmail2013_09.xlsx;0.9;1.65;0.79;0.48;0.01;0;0;0;0;0;250.15;37;4;nan;8;0;3;200;3;1910
Sourmail2013_09.xlsx;0.9;1.65;0.79;0.48;0.01;0;0;0;0;0;270.15;36;4;nan;8;0;3;200;4.4;1701
Sugimoto2000c_1.xlsx;0.2;1.51;1.51;0;0;0.04;0;0;0;0;475;10;4;nan;8;0;3;200;15;600
Sugimoto2000c_1.xlsx;0.2;1.51;1.51;0;0;0.04;0;0;0;0;450;9;4;nan;8;0;3;200;13;700
Wang2013_1.xlsx;0.35;1.48;1.52;1.15;0.4;0.76;0;0;0;0.93;380;16.2;4;nan;8;0;3;200;5;982
Wang2013_1.xlsx;0.35;1.48;1.52;1.15;0.4;0.76;0;0;0;0.93;330;13;4;nan;8;0;3;200;6;1120
Wang2013_1.xlsx;0.35;1.48;1.52;1.15;0.4;0.76;0;0;0;0.93;320;11.3;4;nan;8;0;3;200;7;1060
